rank,ethnicity,gender,language,age,cls_students,cls_level,bty_avg,prof_eval,course_eval
tenured,not minority,male,english,49,57,upper,6.5,4,4
tenured,not minority,male,english,61,27,lower,4.833,4.5,4.5
tenured,not minority,male,english,61,38,upper,4.833,4.6,4.4
tenured,not minority,male,english,61,22,lower,4.833,4.8,4.5
tenured,not minority,male,english,61,43,upper,4.833,4.6,4.4
tenure track,not minority,male,english,33,31,upper,7,4.9,4.7
tenure track,not minority,male,english,33,13,upper,7,3.1,3
tenure track,not minority,male,english,33,15,upper,7,3.7,3.7
tenured,not minority,female,english,58,34,upper,4.667,3.7,3.5
tenured,not minority,female,english,56,19,upper,3.833,3.9,3.7
tenured,not minority,female,english,56,20,upper,3.833,3.9,3.6
tenured,not minority,female,english,56,23,upper,3.833,3.2,3.1
teaching,not minority,female,english,50,27,lower,3.167,4.4,4
teaching,not minority,female,english,50,32,lower,3.167,4.2,3.8
teaching,not minority,female,english,50,21,lower,3.167,4.7,4.7
teaching,not minority,female,english,50,24,upper,3.167,3.9,3.8
teaching,not minority,female,english,50,21,upper,3.167,3.6,3.8
teaching,not minority,female,english,50,28,upper,3.167,3.4,2.8
teaching,not minority,female,english,50,29,upper,3.167,4.4,4
tenured,not minority,male,english,52,67,upper,3.167,4.4,4.1
tenured,not minority,male,english,52,89,upper,3.167,4.1,4
tenured,not minority,male,english,52,82,upper,3.167,3.6,3.5
tenured,not minority,male,english,52,122,upper,3.167,3.5,3.4
tenured,not minority,male,english,52,131,upper,3.167,4.1,4
tenured,not minority,male,english,52,114,upper,3.167,3.8,3.5
tenured,not minority,male,english,52,149,upper,3.167,4,3.8
tenured,not minority,male,english,52,23,upper,3.167,4.8,4.7
tenured,not minority,male,english,52,98,upper,3.167,4.2,3.9
tenured,not minority,male,english,52,27,upper,3.167,4.6,4.5
tenured,not minority,male,english,52,30,upper,3.167,4.3,4.2
tenured,not minority,male,english,52,30,upper,3.167,4.8,4.7
tenured,not minority,male,english,52,69,upper,3.167,3.8,4
tenure track,not minority,female,english,33,15,upper,5.833,4.5,4.4
tenure track,not minority,female,english,33,10,upper,5.833,4.9,4.8
tenure track,not minority,female,english,33,11,upper,5.833,4.9,4.8
tenure track,not minority,female,english,33,14,upper,5.833,4.8,4.4
tenure track,not minority,female,english,33,11,upper,5.833,4.7,4.7
tenure track,not minority,female,english,33,14,upper,5.833,4.6,4.5
tenured,not minority,male,english,57,77,upper,5.667,4.3,4.2
tenured,not minority,male,english,57,41,upper,5.667,4.4,4.2
tenured,not minority,male,english,57,88,upper,5.667,4.5,4.4
tenured,not minority,male,english,57,78,upper,5.667,4.2,4.1
tenured,not minority,female,english,38,65,upper,6.5,4.8,4.5
tenured,not minority,female,english,38,157,lower,6.5,4.6,4.2
tenured,not minority,female,english,38,68,upper,6.5,4.9,4.8
tenured,not minority,female,english,38,67,upper,6.5,4.8,4.4
tenured,not minority,female,english,38,80,upper,6.5,4.8,4.7
tenured,not minority,female,english,38,137,lower,6.5,4.6,4.2
tenured,not minority,female,english,38,69,upper,6.5,4.7,4.5
tenure track,not minority,female,english,34,91,lower,1.667,4.1,3.8
tenure track,not minority,female,english,34,80,lower,1.667,3.8,3.4
tenure track,not minority,female,english,34,90,lower,1.667,4,3.7
tenure track,not minority,female,english,34,34,upper,1.667,4.1,3.6
tenure track,not minority,female,english,34,73,upper,1.667,4,3.9
tenure track,not minority,female,english,34,44,upper,1.667,4.1,3.9
tenure track,not minority,male,english,34,36,upper,6.667,3.5,3.1
tenure track,not minority,male,english,34,20,upper,6.667,4.1,3.7
tenure track,not minority,male,english,34,35,lower,6.667,3.6,3
tenure track,not minority,male,english,32,248,lower,3.667,4,3.7
tenure track,not minority,male,english,32,168,lower,3.667,3.9,3.6
tenure track,not minority,male,english,32,247,lower,3.667,3.8,3.6
tenure track,not minority,male,english,32,22,upper,3.833,4.4,4.3
tenure track,not minority,male,english,32,103,upper,3.833,4.7,4.5
tenured,not minority,female,english,42,62,lower,6.167,3.8,3.9
tenured,not minority,female,english,42,82,upper,6.167,4.1,3.9
tenured,not minority,female,english,43,51,lower,3.333,4.1,4
tenured,not minority,female,english,43,35,upper,3.333,4.7,4.6
tenured,not minority,female,english,43,34,lower,3.333,4.3,4.1
tenured,not minority,female,english,43,37,lower,3.333,4.4,4.2
tenured,not minority,female,english,43,14,lower,3.333,4.5,4.1
tenured,not minority,female,english,43,266,lower,3.333,3.1,3.1
tenured,not minority,female,english,43,254,lower,3.333,3.7,3.6
tenured,not minority,female,english,43,13,upper,3.333,4.5,4.2
tenured,not minority,female,english,43,282,lower,3.333,3,3
tenured,not minority,female,english,43,17,upper,3.333,4.6,4.2
tenure track,not minority,male,non-english,35,19,upper,3.667,3.7,3.3
tenure track,not minority,male,non-english,35,42,lower,3.667,3.6,3.4
tenured,not minority,female,english,62,27,upper,3.5,3.2,3.1
tenured,not minority,female,english,62,16,upper,3.5,3.3,3.1
tenured,not minority,female,english,62,19,upper,3.5,2.9,2.7
tenured,not minority,male,english,42,86,upper,2.667,4.2,4
tenured,not minority,male,english,39,29,upper,5.667,4.5,4.3
tenured,not minority,female,english,52,88,upper,6,3.8,3.7
tenured,not minority,female,english,52,98,upper,6,3.7,3.9
tenured,not minority,female,english,52,44,upper,6.5,3.7,3.4
tenured,not minority,female,english,52,65,upper,6.5,4,3.9
tenured,not minority,female,english,52,63,upper,6.5,3.7,3.6
teaching,not minority,female,english,52,75,upper,2.333,4.5,4.3
teaching,not minority,female,english,52,43,upper,2.333,3.8,3.7
teaching,not minority,female,english,52,80,upper,2.333,3.9,3.6
teaching,not minority,female,english,52,52,upper,2.333,4.6,4.4
teaching,not minority,female,english,52,48,upper,2.333,4.5,4.3
teaching,not minority,female,english,52,66,upper,2.333,4.2,4.1
teaching,not minority,female,english,52,100,upper,2.333,4,3.7
tenured,not minority,male,english,64,11,upper,2.333,3.8,3.7
tenured,not minority,male,english,64,16,upper,2.333,3.5,3.6
tenured,not minority,male,english,64,22,upper,2.333,2.7,2.8
tenured,not minority,male,english,64,11,upper,2.333,4,4
tenured,not minority,male,english,64,10,upper,2.333,4.6,4.4
tenured,not minority,male,english,64,16,upper,2.333,3.9,3.6
tenured,not minority,male,english,50,16,upper,7.167,4.5,4.2
tenured,not minority,male,english,50,10,upper,7.167,3.7,3.7
tenured,not minority,male,english,60,32,upper,1.667,2.4,2.2
tenured,not minority,male,english,60,10,upper,1.667,3.1,2.9
tenured,not minority,male,english,60,16,upper,1.667,2.5,2.6
tenured,not minority,female,english,51,67,upper,5.167,3,3
tenure track,not minority,male,english,43,22,lower,3.5,4.5,4.3
tenure track,not minority,male,english,43,28,lower,3.5,4.8,4.8
tenure track,not minority,male,english,43,30,lower,3.5,4.9,4.9
tenure track,not minority,male,english,43,15,lower,3.5,4.5,4.3
tenure track,not minority,male,english,43,13,lower,3.5,4.6,4.4
tenure track,not minority,male,english,43,18,lower,3.5,4.5,4.3
tenure track,not minority,male,english,43,26,lower,3.5,4.9,4.7
tenure track,not minority,male,english,43,30,lower,3.5,4.4,4.3
tenure track,not minority,male,english,43,14,lower,3.5,4.6,4.6
teaching,minority,male,english,50,24,lower,3.333,4.6,4.6
teaching,minority,male,english,50,22,lower,3.333,5,4.9
teaching,minority,male,english,50,25,lower,3.333,4.9,4.8
teaching,minority,male,english,50,26,lower,3.333,4.6,4.7
teaching,minority,male,english,50,22,lower,3.333,4.8,4.8
teaching,minority,male,english,50,26,lower,3.333,4.9,4.9
teaching,minority,male,english,50,20,lower,3.333,4.9,4.8
teaching,minority,male,english,50,22,lower,3.333,4.9,4.8
teaching,minority,male,english,50,21,lower,3.333,5,5
teaching,minority,male,english,50,21,lower,3.333,4.5,4.5
tenured,not minority,male,english,52,69,upper,5.833,3.5,3.5
tenured,not minority,male,english,52,65,upper,5.833,3.8,3.8
tenured,not minority,male,english,52,62,upper,5.833,3.9,3.8
tenured,not minority,male,english,52,67,upper,5.833,3.9,3.8
tenured,not minority,male,english,52,40,upper,5.833,4.2,4
tenured,not minority,male,english,52,45,upper,5.833,4.1,4.2
tenured,not minority,male,english,51,574,lower,6.167,4.8,4.6
tenured,not minority,male,english,51,579,lower,6.167,4.8,4.5
tenured,not minority,male,english,51,537,lower,6.167,4.8,4.5
tenured,not minority,male,english,51,581,lower,6.167,4.8,4.6
tenured,not minority,male,english,51,527,lower,6.167,4.9,4.7
tenured,not minority,male,english,38,87,lower,3.333,4.2,3.7
tenured,not minority,male,english,38,84,lower,3.333,4.5,4.1
tenured,not minority,male,english,38,79,lower,3.333,3.9,3.6
tenured,not minority,male,english,38,92,lower,3.333,4.4,4
tenured,not minority,female,english,47,24,lower,5.167,4,3.8
tenured,not minority,female,english,47,67,lower,5.167,3.6,3.4
tenured,minority,female,english,43,103,lower,4.167,3.7,3.6
tenured,minority,female,english,43,190,lower,4.167,2.7,2.8
teaching,not minority,female,english,38,68,lower,2.5,4.5,4.4
teaching,not minority,female,english,38,60,lower,2.5,4.4,4.1
teaching,not minority,female,english,38,64,lower,2.5,3.9,3.5
teaching,not minority,female,english,38,31,lower,2.5,3.6,3.4
teaching,not minority,female,english,38,62,lower,2.5,4.4,4.1
teaching,not minority,female,english,38,37,lower,2.5,4.4,4.2
tenured,not minority,male,english,43,13,lower,4.333,4.7,4.1
tenured,not minority,male,english,43,13,lower,4.333,4.5,4.3
tenured,not minority,male,english,43,15,upper,4.333,4.1,4.1
tenured,not minority,male,english,43,79,upper,4.333,3.7,3.4
tenured,not minority,male,english,57,13,upper,3,4.3,4.3
tenured,not minority,male,english,57,98,upper,3,3.5,3.5
tenured,not minority,male,english,57,97,upper,3,3.7,3.6
tenured,not minority,female,english,51,11,upper,6.333,4,4
tenured,not minority,female,english,51,78,upper,6.333,4,3.7
tenured,not minority,female,english,51,56,upper,6.333,3.1,3
tenured,not minority,female,english,51,20,upper,6.333,4.5,4.6
teaching,not minority,male,english,45,17,lower,3.333,4.8,4.8
teaching,not minority,male,english,45,20,lower,3.333,4.2,4
teaching,not minority,male,english,45,19,lower,3.333,4.9,4.8
teaching,not minority,male,english,45,26,lower,3.333,4.8,4.6
tenured,not minority,male,english,57,14,lower,2.833,3.5,3.5
tenured,not minority,male,english,57,18,lower,2.833,3.6,3.4
tenured,not minority,male,english,57,12,lower,2.833,4.4,4.4
tenured,not minority,male,english,57,19,lower,2.833,3.4,3.6
tenured,not minority,male,english,57,16,lower,2.833,3.9,3.8
tenured,not minority,male,english,57,16,lower,2.833,3.8,3.7
tenured,not minority,male,english,57,12,lower,2.833,4.8,4.7
tenured,not minority,male,english,57,17,lower,2.833,4.6,4.5
tenured,not minority,male,english,57,15,upper,2.833,5,5
tenured,not minority,male,english,57,16,lower,2.833,3.8,3.8
tenured,not minority,male,english,57,17,lower,2.833,4.2,4.1
teaching,not minority,female,english,47,21,lower,6.667,3.3,3.6
teaching,not minority,female,english,47,17,lower,6.667,4.7,4.3
teaching,not minority,female,english,47,10,lower,6.667,4.6,4.4
teaching,not minority,female,english,47,17,lower,6.667,4.6,4.7
teaching,not minority,female,english,47,17,lower,6.667,4,3.9
tenured,minority,female,english,54,18,lower,6.833,4.2,3.8
tenured,minority,female,english,54,16,lower,6.833,4.9,4.8
tenured,minority,female,english,54,26,lower,6.833,4.5,4.3
tenured,minority,female,english,54,18,lower,6.833,4.8,4.6
tenured,minority,female,english,54,20,lower,6.833,3.8,3.8
teaching,not minority,male,english,58,17,lower,7.833,4.8,4.7
teaching,not minority,male,english,58,21,lower,7.833,5,5
teaching,not minority,male,english,58,21,lower,7.833,5,4.9
teaching,not minority,male,english,58,20,lower,7.833,4.9,4.6
teaching,not minority,male,english,58,20,lower,7.833,4.6,4.6
teaching,not minority,male,english,58,13,lower,7.833,5,5
teaching,not minority,male,english,58,16,lower,7.833,4.8,4.6
teaching,not minority,male,english,58,17,lower,7.833,4.9,4.9
tenured,not minority,male,english,42,18,lower,7.833,4.9,4.9
tenured,not minority,male,english,42,24,lower,7.833,3.9,4
tenured,not minority,male,english,42,20,upper,7.833,3.9,3.9
tenure track,not minority,male,english,33,120,lower,5.833,4.5,4.3
tenure track,not minority,male,english,33,155,lower,5.833,4.5,4.1
tenured,not minority,male,english,62,38,lower,2,3.3,3.3
tenured,not minority,male,english,62,70,lower,2,3.1,2.9
tenured,not minority,male,english,62,149,lower,2,2.8,2.8
tenured,not minority,male,english,62,137,lower,2,3.1,2.8
tenured,not minority,male,english,62,29,upper,2,4.2,4
tenured,not minority,male,english,62,55,lower,2,3.4,3.3
tenured,not minority,male,english,62,136,lower,2,3,3
tenure track,minority,female,english,35,96,lower,7.833,3.3,3.4
tenure track,minority,female,english,35,60,lower,7.833,3.6,3.6
tenure track,minority,female,english,35,108,lower,7.833,3.7,3.8
tenured,not minority,male,english,61,39,lower,3.333,3.6,3.6
tenured,not minority,male,english,61,15,lower,3.333,4.3,3.9
tenured,not minority,female,english,52,111,lower,4.5,4.1,4
tenured,not minority,female,english,52,17,lower,4.5,4.9,4.7
tenured,not minority,female,english,52,19,lower,4.5,4.8,4.7
tenure track,not minority,female,non-english,60,27,upper,4.333,3.7,3.9
tenure track,not minority,female,non-english,60,19,upper,4.333,3.9,3.9
tenure track,not minority,female,non-english,60,13,upper,4.333,4.5,4.4
tenure track,not minority,female,non-english,60,19,upper,4.333,3.6,3.6
tenure track,not minority,female,non-english,60,22,upper,4.333,4.4,4.2
tenure track,not minority,female,non-english,60,20,upper,4.333,3.4,3.4
tenure track,not minority,female,non-english,60,27,upper,4.333,4.4,4
tenure track,not minority,male,english,32,132,lower,6.833,4.5,4.3
tenure track,not minority,male,english,32,127,lower,6.833,4.5,4.2
tenure track,not minority,male,english,32,85,upper,6.833,4.5,4.4
tenure track,not minority,male,english,32,101,lower,6.833,4.6,4.5
tenure track,not minority,male,english,32,21,lower,6.833,4.1,3.2
tenure track,not minority,male,english,32,86,upper,6.833,4.5,4.3
tenure track,minority,female,non-english,42,84,upper,5.333,3.5,3.3
tenure track,minority,female,non-english,42,67,upper,5.333,4.4,3.3
tenure track,minority,female,non-english,42,66,upper,5.333,4.4,3.2
tenure track,minority,female,non-english,42,35,lower,5.333,4.1,4.1